City,Temperature,Condition
"in Bhubaneshwar, Odisha, India",34ʡC,Scattered clouds.
"in Gangtok, Sikkim, India",7ʡC,Quite cool.
"in Courtallam, Tamil Nadu, India",31ʡC,Scattered clouds.
